Dataset:              Benthic Taxonomy Information
File Name:            ben_tax.dat
Date Created:         06/08/10
# Variables:          7
# Header Records:     18
# Data Records:       745
Delimiter:            ,
Missing Value Symbol: .

Variables:        TSN            ITIS Taxonomic Serial Number 
                  TSN_NAME       ITIS Taxa Latin Name              
                  PHYLUM         Taxonomic Phylum            
                  CLASS          Taxonomic Class            
                  ORDER          Taxonomic Order            
                  FAMILY         Taxonomic Family           
                  GENUS          Taxonomic Genus             

tsn,PHYLUM,CLASS,ORDER,FAMILY,GENUS,tsn_name,ntsn,STATUS,TAXON_RANK_NAME,old_name,KINGDOM,SPECIES,
65747,Annelida,Polychaeta,Aciculata,Syllidae,Sphaerosyllis,Sphaerosyllis taylori,65747,A,Species, , ,taylori,
65761,Annelida,Polychaeta,Aciculata,Syllidae,Brania,Brania clavata,65761,A,Species, , ,clavata,
65762,Annelida,Polychaeta,Aciculata,Syllidae,Brania,Brania wellfleetensis,65762,A,Species, , ,wellfleetensis,
65789,Annelida,Polychaeta,Aciculata,Syllidae,Odontosyllis,Odontosyllis fulgurans,65789,A,Species, , ,fulgurans,
65791,Annelida,Polychaeta,Aciculata,Syllidae,Odontosyllis,Odontosyllis longiseta,65791,A,Species, , ,longiseta,
65806,Annelida,Polychaeta,Aciculata,Syllidae,Syllides,Syllides longocirrata,65806,A,Species, ,Animalia,longocirrata,
65822,Annelida,Polychaeta,Aciculata,Syllidae,Streptosyllis,Streptosyllis pettiboneae,65822,A,Species, , ,pettiboneae,
65824,Annelida,Polychaeta,Aciculata,Syllidae,Parapionosyllis,Parapionosyllis longicirrata,65824,A,Species, , ,longicirrata,
65870,Annelida,Polychaeta,Aciculata,Nereididae, ,Nereididae,65870,A,Family, , , ,
65874,Annelida,Polychaeta,Aciculata,Nereididae,Ceratonereis,Ceratonereis irritabilis,65874,A,Species, , ,irritabilis,
65892,Annelida,Polychaeta,Aciculata,Nereididae,Neanthes,Neanthes virens,65892,S,Species,Nereis virens, ,virens,
65902,Annelida,Polychaeta,Aciculata,Nereididae,Nereis,Nereis,65902,A,Genus, , , ,
65916,Annelida,Polychaeta,Aciculata,Nereididae,Nereis,Nereis grayi,65916,A,Species, , ,grayi,
65917,Annelida,Polychaeta,Aciculata,Nereididae,Neanthes,Neanthes succinea,65917,S,Species,Nereis succinea, ,succinea,
65918,Annelida,Polychaeta,Aciculata,Nereididae,Neanthes,Neanthes succinea,65918,A,Species, , ,succinea,
65920,Annelida,Polychaeta,Aciculata,Nereididae,Nereis,Nereis diversicolor,65920,A,Species, , ,diversicolor,
65926,Annelida,Polychaeta,Aciculata,Nereididae,Nereis,Nereis acuminata,65926,A,Species, , ,acuminata,
65965,Annelida,Polychaeta,Aciculata,Nereididae,Laeonereis,Laeonereis culveri,65965,A,Species, , ,culveri,
66010,Annelida,Polychaeta,Aciculata,Nephtyidae, ,Nephtyidae,66010,A,Family, , , ,
66011,Annelida,Polychaeta,Aciculata,Nephtyidae,Nephtys,Nephtys,66011,A,Genus, , , ,
