Dataset:              Fish Species List
File Name:            fish_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       468
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
164720,MICRTOMC,MICROGADUS,TOMCOD,MICROGADUS TOMCOD,
164726,POLLAC01,POLLACHIUS,SP,POLLACHIUS SP,
164727,POLLVIRE,POLLACHIUS,VIRENS,POLLACHIUS VIRENS,
164729,UROPHY01,UROPHYCIS,SP,UROPHYCIS SP,
164730,UROPCHUS,UROPHYCIS,CHUSS,UROPHYCIS CHUSS,
164731,UROPREGI,UROPHYCIS,REGIA,UROPHYCIS REGIA,
164732,UROPTENU,UROPHYCIS,TENUIS,UROPHYCIS TENUIS,
164735,UROPCIRR,UROPHYCIS,CIRRATA,UROPHYCIS CIRRATA,
164739,BROSME01,BROSME,SP,BROSME SP,
164740,BROSBROS,BROSME,BROSME,BROSME BROSME,
164747,ENCHEL01,ENCHELYOPUS,SP,ENCHELYOPUS SP,
164748,ENCHCIMB,ENCHELYOPUS,CIMBRIUS,ENCHELYOPUS CIMBRIUS,
164789,MERLUC02, , ,MERLUCCIIDAE,
164790,MERLUC01,MERLUCCIUS,SP,MERLUCCIUS SP,
164791,MERLBILI,MERLUCCIUS,BILINEARIS,MERLUCCIUS BILINEARIS,
164807,OPHIDI02, , ,OPHIDIIDAE UNCL,
164839,OPHIDI01,OPHIDION,SP,OPHIDION SP,
164852,OPHIMARG,OPHIDION,MARGINATUM,OPHIDION MARGINATUM,
165429,ATHERI02, , ,ATHERINIFORMES,
165546,BELONI01, , ,BELONIDAE UNCL,
165551,STROMARI,STRONGYLURA,MARINA,STRONGYLURA MARINA,
165631,CYPRVARI,CYPRINODON,VARIEGATUS,CYPRINODON VARIEGATUS,
165646,FUNDDIAP,FUNDULUS,DIAPHANUS,FUNDULUS DIAPHANUS,
165647,FUNDHETE,FUNDULUS,HETEROCLITUS,FUNDULUS HETEROCLITUS,
165649,FUNDMAJA,FUNDULUS,MAJALIS,FUNDULUS MAJALIS,
165651,FUNDGRAN,FUNDULUS,GRANDIS,FUNDULUS GRANDIS,
165679,LUCAPARV,LUCANIA,PARVA,LUCANIA PARVA,
165984,ATHERI01, , ,ATHERINIDAE UNCL,
165988,MEMBRA01,MEMBRAS,SP,MEMBRAS SP,
165989,MEMBMART,MEMBRAS,MARTINICA,MEMBRAS MARTINICA,
165992,MENIDI01,MENIDIA,SP,MENIDIA SP,
165993,MENIBERY,MENIDIA,BERYLLINA,MENIDIA BERYLLINA,
165994,MENIMENI,MENIDIA,MENIDIA,MENIDIA MENIDIA,
166350,DESMPOLY,DESMODEMA,POLYSTICTUM,DESMODEMA POLYSTICTUM,
166361,GASTER01, , ,GASTEROSTEIFORMES,
166365,GASTACUL,GASTEROSTEUS,ACULEATUS,GASTEROSTEUS ACULEATUS,
166414,FISTUL02, , ,FISTULARIIDAE UNCL,
166415,FISTUL01,FISTULARIA,SP,FISTULARIA SP,
166416,FISTTABA,FISTULARIA,TABACARIA,FISTULARIA TABACARIA,
166443,SYNGNA02, , ,SYNGNATHIDAE UNCL,
166444,SYNGNA01,SYNGNATHUS,SP,SYNGNATHUS SP,
166446,SYNGFLOR,SYNGNATHUS,FLORIDAE,SYNGNATHUS FLORIDAE,
166451,SYNGFUSC,SYNGNATHUS,FUSCUS,SYNGNATHUS FUSCUS,
166452,SYNGLOUI,SYNGNATHUS,LOUISIANAE,SYNGNATHUS LOUISIANAE,
166458,SYNGSCOV,SYNGNATHUS,SCOVELLI,SYNGNATHUS SCOVELLI,
166487,HIPPOC01,HIPPOCAMPUS,SP,HIPPOCAMPUS SP,
166488,HIPPEREC,HIPPOCAMPUS,ERECTUS,HIPPOCAMPUS ERECTUS,
166702,SCORPA01, , ,SCORPAENIFORMES,
166972,TRIGLI01, , ,TRIGLIDAE UNCL,
166973,PRIONO01,PRIONOTUS,SP,PRIONOTUS SP,
166974,PRIOCARO,PRIONOTUS,CAROLINUS,PRIONOTUS CAROLINUS,
166975,PRIOEVOL,PRIONOTUS,EVOLANS,PRIONOTUS EVOLANS,
166977,PRIOTRIB,PRIONOTUS,TRIBULUS,PRIONOTUS TRIBULUS,
166978,PRIOALAT,PRIONOTUS,ALATUS,PRIONOTUS ALATUS,
166990,PRIOROSE,PRIONOTUS,ROSEUS,PRIONOTUS ROSEUS,
166991,PRIORUBI,PRIONOTUS,RUBIO,PRIONOTUS RUBIO,
167006,PERIGRAC,PERISTEDION,GRACILE,PERISTEDION GRACILE,
167196,COTTID01, , ,COTTIDAE UNCL,
167311,MYOXOC01,MYOXOCEPHALUS,SP,MYOXOCEPHALUS SP,
167320,MYOXOCTO,MYOXOCEPHALUS,OCTODECEMSPINOSUS,MYOXOCEPHALUS OCTODECEMSPINOSUS,
167321,MYOXAENA,MYOXOCEPHALUS,AENAEUS,MYOXOCEPHALUS AENAEUS,
167640,PERCIF01, , ,PERCIFORMES,
167648,CENTUNDE,CENTROPOMUS,UNDECIMALIS,CENTROPOMUS UNDECIMALIS,
167674,SERRAN02, , ,SERRANIDAE UNCL,
167676,MORONE01,MORONE,SP,MORONE SP,
167678,MOROAMER,MORONE,AMERICANA,MORONE AMERICANA,
167680,MOROSAXA,MORONE,SAXATILIS,MORONE SAXATILIS,
167682,MOROCHRY,MORONE,CHRYSOPS,MORONE CHRYSOPS,
167683,MOROMISS,MORONE,MISSISSIPPIENSIS,MORONE MISSISSIPPIENSIS,
167686,CENTRO01,CENTROPRISTIS,SP,CENTROPRISTIS SP,
167687,CENTSTRI,CENTROPRISTIS,STRIATA,CENTROPRISTIS STRIATA,
167759,MYCTMICR,MYCTEROPERCA,MICROLEPIS,MYCTEROPERCA MICROLEPIS,
167760,MYCTBONA,MYCTEROPERCA,BONACI,MYCTEROPERCA BONACI,
167791,DIPLEC01,DIPLECTRUM,SP,DIPLECTRUM SP,
167793,DIPLFORM,DIPLECTRUM,FORMOSUM,DIPLECTRUM FORMOSUM,
167796,DIPLBIVI,DIPLECTRUM,BIVITTATUM,DIPLECTRUM BIVITTATUM,
167806,HYPOUNIC,HYPOPLECTRUS,UNICOLOR,HYPOPLECTRUS UNICOLOR,
167849,SERRAN01,SERRANUS,SP,SERRANUS SP,
167858,SERRSUBL,SERRANUS,SUBLIGARIUS,SERRANUS SUBLIGARIUS,
168093,CENTRA01, , ,CENTRARCHIDAE UNCL,
168113,ENNEGLOR,ENNEACANTHUS,GLORIOSUS,ENNEACANTHUS GLORIOSUS,
168130,LEPOMI01,LEPOMIS,SP,LEPOMIS SP,
168141,LEPOMACR,LEPOMIS,MACROCHIRUS,LEPOMIS MACROCHIRUS,
168144,LEPOGIBB,LEPOMIS,GIBBOSUS,LEPOMIS GIBBOSUS,
168152,LEPOMARG,LEPOMIS,MARGINATUS,LEPOMIS MARGINATUS,
168154,LEPOMICR,LEPOMIS,MICROLOPHUS,LEPOMIS MICROLOPHUS,
168155,LEPOPUNC,LEPOMIS,PUNCTATUS,LEPOMIS PUNCTATUS,
168156,LEPOSYMM,LEPOMIS,SYMMETRICUS,LEPOMIS SYMMETRICUS,
168160,MICRSALM,MICROPTERUS,SALMOIDES,MICROPTERUS SALMOIDES,
168165,POMOXI01,POMOXIS,SP,POMOXIS SP,
168166,POMOANNU,POMOXIS,ANNULARIS,POMOXIS ANNULARIS,
168167,POMONIGR,POMOXIS,NIGROMACULATUS,POMOXIS NIGROMACULATUS,
168178,PRIAAREN,PRIACANTHUS,ARENATUS,PRIACANTHUS ARENATUS,
168356,PERCID01, , ,PERCIDAE UNCL,
168360,ETHEOLMS,PERCA,ETHEOSTOMA,ETHEOSTOMA OLMSTEDI,
168468,PERCA01,PERCA,SP,PERCA SP,
168469,PERCFLAV,PERCA,FLAVESCENS,PERCA FLAVESCENS,
168557,POMATO02, , ,POMATOMIDAE UNCL,
168558,POMATO01,POMATOMUS,SP,POMATOMUS SP,
168559,POMASALT,POMATOMUS,SALTATRIX,POMATOMUS SALTATRIX,
168564,RACHYC02, , ,RACHYCENTRIDAE UNCL,
168565,RACHYC01,RACHYCENTRON,SP,RACHYCENTRON SP,
168566,RACHCANA,RACHYCENTRON,CANADUM,RACHYCENTRON CANADUM,
168567,XXXXECHE,UNID.,ECHENEIDIDAE,ECHENEIDIDAE UNCL,
168575,ECHENAUC,ECHENEIS,NAUCRATES,ECHENEIS NAUCRATES,
168584,CARANG01, , ,CARANGIDAE UNCL,
168605,CARAXXXX,CARANX, ,CARANX,
168605,CARANX01,CARANX,SP,CARANX SP,
