Dataset:              Demersal Lengths - Summary by Station and Taxon
File Name:            CP_DEM_L.txt
Date Created:         02Dec1998
# Variables:          7
# Header Records:     17
# Data Records:       1682
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              COD_EMAP     Carolinian Province Office Taxa Code
              N_LEN        Number of lengths
              M_LEN        Mean length (mm)
              SD_LEN       Standard deviation of lengths
              MEASTYPE     Length measurement type code

STA_NAME;DATE;COD_EMAP;N_LEN;M_LEN;SD_LEN;MEASTYPE
CP94026;940819;CALLSIMI;1;63.0;.;C
CP94026;940819;CYNOREGA;7;153.4;26.0;T
CP94026;940819;ETROCROS;2;97.5;6.4;T
CP94026;940819;GYMNMICR;1;265.0;.;D
CP94026;940819;GYMNXXSP;1;256.0;.;D
CP94026;940819;LEIOXANT;3;117.7;4.0;T
CP94026;940819;LOLLBREV;4;50.5;14.2;M
CP94026;940819;MENTAMER;1;150.0;.;T
CP94026;940819;MICRUNDU;44;146.7;14.1;T
CP94026;940819;PENAAZTE;20;126.9;21.2;S
CP94026;940819;PENASETI;24;128.0;18.2;S
CP94026;940819;POGOCROM;43;124.9;14.8;T
CP94026;940819;PRIOTRIB;3;69.0;9.2;T
CP94026;940819;STELLANC;44;84.2;19.2;T
CP94026;940819;SYMPPLAG;3;121.0;19.2;T
CP94026;940819;TRINMACU;1;134.0;.;T
CP94027;940825;BAGRMARI;6;117.0;32.0;F
CP94027;940825;CALLSAPI;4;91.3;55.0;C
CP94027;940825;CALLSIMI;6;82.3;47.1;C
CP94027;940825;CHAEFABE;1;39.0;.;T
CP94027;940825;CYNOREGA;22;117.0;14.8;T
CP94027;940825;ETROCROS;1;64.0;.;T
CP94027;940825;LOLLBREV;8;49.5;15.3;M
CP94027;940825;MICRUNDU;43;121.9;11.3;T
CP94027;940825;PENAAZTE;1;139.0;.;S
CP94027;940825;PENASETI;14;125.4;7.7;S
CP94027;940825;STELLANC;12;76.2;11.3;T
CP94028;940726;ARCHPROB;1;312.0;.;F
CP94028;940726;CHAEFABE;1;175.0;.;T
CP94028;940726;ILLEILLE;2;66.0;5.7;M
CP94028;940726;LAGORHOM;30;161.4;20.1;F
