names,species,wids
Dorvilleidae,NA,971
Kalliapseudes,NA,136194
Parvilucina multilineata,NA,NA
Prunum,NA,160009
Semele,NA,138476
Texadina,NA,416060
Tivela trigonella,Tivela trigonella,420965
Amphilochus neapolitanus,NA,NA
Amygdalum sagittatum,Amygdalum sagittatum,420690
Eurypanopeus depressus,Eurypanopeus depressus,158416
Littoridinops monroensis,Littoridinops monroensis,159912
Macoma mitchelli,NA,NA
Mytilopsis leucophaeata,Mytilopsis leucophaeata,156887
Angulus versicolor,NA,NA
Bittiolum varium,Bittiolum varium,160174
Haminoea succinea,Haminoea succinea,420526
Nereiphylla fragilis,Nereiphylla fragilis,157502
Ophiophragmus filograneus,Ophiophragmus filograneus,243925
Oxyurostylis lecroyae,Oxyurostylis lecroyae,182122
Prionospio perkinsi,Prionospio perkinsi,558840
Accalathura crenulata,Accalathura crenulata,258458
Aclididae,NA,NA
Amakusanthura magnifica,Amakusanthura magnifica,255365
Apseudes propinquus,NA,NA
Aricidea (Aricidea) taylori,NA,NA
Batea carinata,Batea carinata,410424
Caecum floridanum,Caecum floridanum,419588
Carditidae,NA,22997
Carpias algicola,Carpias algicola,216037
Cerithium,NA,137760
Craspedochiton hemphilli,NA,NA
Crenella divaricata,Crenella divaricata,506004
Cumella garrityi,NA,NA
Dentatisyllis carolinae,Dentatisyllis carolinae,157337
Diplodonta,NA,138621
Exogone lourei,Exogone lourei,327981
Fimbriosthenelais minor,Fimbriosthenelais minor,131065
Gammaropsis,NA,101558
Gibberosus myersi,Gibberosus myersi,421500
Glycymeris,NA,138035
Glycymeris pectinata,NA,NA
Kalliapseudes bahanensis,NA,NA
Leiocapitella,NA,129215
Lembos,NA,101469
Lembos unifasciatus,NA,NA
Leptochelia,NA,136235
Lucinidae,NA,218
Marginella,NA,138166
Mesochaetopterus,NA,129230
Metaphoxus,NA,101720
Nannastacidae,NA,110383
Nematonereis hebes,NA,NA
Neomegamphopidae,NA,390937
Paranebalia,NA,393673
Parapseudes,NA,136198
Plakosyllis quadrioculata,NA,NA
Pleuromeris tridentata,Pleuromeris tridentata,420835
Prionospio cristata,Prionospio cristata,157542
Pseudoleptochelia,NA,136237
Schistomeringos pectinata,Schistomeringos pectinata,331696
Sphaerosyllis piriferopsis,Sphaerosyllis piriferopsis,131393
Syllis corallicola,Syllis corallicola,131424
Syllis cornuta,Syllis cornuta,157583
Syllis ferrugina,NA,NA
Syllis gracilis,Syllis gracilis,131435
Trichobranchus glacialis,Trichobranchus glacialis,131574
Vaunthompsonia floridana,Vaunthompsonia floridana,181889
Branchiosyllis exilis,Branchiosyllis exilis,131279
Cerapus cudjoe,Cerapus cudjoe,421589
Edotia lyonsi,Edotia lyonsi,257851
Erichsonella attenuata,Erichsonella attenuata,157887
Gibberula lavalleeana,Gibberula lavalleeana,420130
Hourstonius laguna,Hourstonius laguna,421444
Lysidice notata,Lysidice notata,328985
Mooreonuphis pallidula,Mooreonuphis pallidula,334038
Nassarius albus,NA,NA
Sphaeromatidae,NA,118277
Amphiuridae,NA,123206
Acteocina candei,Acteocina candei,420532
Okenia,NA,138042
Turbonilla conradi,Turbonilla conradi,420480
Anomalocardia auberiana,NA,NA
Peramphithoe,NA,NA
Spirobranchus americanus,Spirobranchus americanus,560032
Turbonilla portoricana,Turbonilla portoricana,420494
Goniada littorea,Goniada littorea,157399
Chione cancellata,Chione cancellata,397040
Harrieta faxoni,NA,NA
Ophiophragmus wurdemani,Ophiophragmus wurdemanii,244940
Syllis broomensis,Syllis broomensis,816639
Ampithoidae,NA,101366
Americorophium ellisi,NA,NA
Apocorophium,NA,148593
Cnidaria,NA,1267
Paratanaidae,NA,136162
Perna viridis,Perna viridis,367822
Americamysis bahia,Americamysis bahia,226286
Cerapus benthophilus,Cerapus benthophilus,421588
Exogone breviantennata,Exogone breviantennata,327969
Marphysa,NA,129281
Schistomeringos rudolphii,NA,NA
Syllis beneliahuae,Syllis beneliahuae,195997
Polypedilum scalaenum,NA,NA
Pseudopolydora,NA,129621
Granulina ovuliformis,Granulina ovuliformis,532891
Hauchiella,NA,152388
Pista palmata,Pista palmata,334541
Apocorophium louisianum,Apocorophium louisianum,421575
Collembola,NA,118086
Ennucula aegeensis,Ennucula aegeensis,140581
Eupleura sulcidentata,Eupleura sulcidentata,404149
Branchiomma nigromaculatum,Branchiomma nigromaculatum,209930
Kinbergonuphis simoni,Kinbergonuphis simoni,333715
Sphenia fragilis,Sphenia fragilis,420973
Streptosyllis websteri,Streptosyllis websteri,131402
Ficopomatus miamiensis,Ficopomatus miamiensis,333470
Haminoea,NA,138054
Vermiliopsis annulata,Vermiliopsis annulata,335016
Chaoborus,NA,NA
Epitonium rupicola,NA,NA
No Organisms Present,NA,NA
Ampelisca schellenbergi,Ampelisca schellenbergi,421440
Cardites floridanus,NA,NA
Leptocheliidae,NA,136160
Lysilla,NA,129701
Parapionosyllis uebelackerae,Parapionosyllis uebelackerae,330372
Spirorbis,NA,129642
Xenanthura brevitelson,Xenanthura brevitelson,258295
Alokalliapseudes macsweenyi,NA,NA
Alpheus,NA,106978
Armandia agilis,Armandia agilis,157219
Lucina,NA,147468
Lucina nassula,NA,NA
Opheliidae,NA,924
Sternaspis scutata,Sternaspis scutata,131242
Ophiactidae,NA,123207
Hemipholis elongata,NA,NA
Tanaidacea,NA,1133
Terebra dislocata,NA,NA
Angulus sybaritica,NA,NA
Laevicardium mortoni,Laevicardium mortoni,156782
Microdeutopus,NA,101471
Vitrinellidae,NA,153704
Bodotriidae,NA,110378
Eudevenopus honduranus,Eudevenopus honduranus,421535
Amygdalum,NA,138213
Leitoscoloplos foliosus,Leitoscoloplos foliosus,421018
Macoma constricta,NA,NA
Donax variabilis,Donax variabilis,156776
Echinoidea,NA,123082
Elasmopus levis,Elasmopus levis,421508
Orbiniidae,NA,902
Apseudidae,NA,136153
Aricidea (Acmira) finitima,Aricidea (Acmira) finitima,525483
Aspidosiphon albus,NA,NA
Caulleriella alata,Caulleriella alata,129943
Leptochelia savignyi,NA,NA
Macoma brevifrons,NA,NA
Nereis allanae,NA,NA
Paramphinome,NA,129191
Poecilochaetus johnsoni,Poecilochaetus johnsoni,330841
Processa,NA,107054
Pycnogonida,NA,1302
Scoloplos texana,NA,NA
Americamysis,NA,161519
Isolda pulchella,Isolda pulchella,157441
Ophiothrix angulata,Ophiothrix angulata,245091
Rissoidae,NA,123
Columbellidae,NA,23009
Acmaeidae,NA,114
Aglaophamus verrilli,Aglaophamus verrilli,157147
Anachis floridana,NA,NA
Aplacophora,NA,411
Automate,NA,106980
Branchiosyllis oculata,Branchiosyllis oculata,231877
Carpias,NA,118362
Ceradocus shoemakeri,Ceradocus shoemakeri,421503
Ceratocephale oculata,Ceratocephale oculata,157292
Ceratonereis mirabilis,Ceratonereis mirabilis,130372
Chrysopetalum hernancortezae,Chrysopetalum hernancortezae,326748
Codakia orbicularis,Codakia orbicularis,420787
Codakia orbiculata,NA,NA
Cylindrobulla beauii,Cylindrobulla beauii,420554
